repo_id,language,bytes
1226971975,JavaScript,34206
1226971975,Dockerfile,24972
1226971975,CSS,17587
1226971975,Go Template,15765
1226971975,HTML,5353
1226971975,Makefile,1804
1239459771,Python,814411
1239459771,Shell,27210
1226304875,Swift,731068
1226304875,JavaScript,245340
1226304875,HTML,64515
1226304875,Objective-C,33380
1226304875,CSS,28866
1226304875,Shell,6540
1226304875,Makefile,111
1233082731,JavaScript,13264
1235832354,Rust,489124
1235832354,Python,199097
1235832354,Shell,137211
1235832354,TypeScript,20124
1235832354,Dockerfile,1681
1237004640,Rust,496015
1237004640,Just,1723
1232599710,TypeScript,1385186
1232599710,Python,768046
1232599710,JavaScript,28199
1232599710,CSS,19647
1232599710,Shell,7643
1232599710,Dockerfile,4346
1232599710,HTML,1790
1232599710,Mako,1020
1229168545,TypeScript,1122497
1229168545,JavaScript,168854
1229168545,CSS,29793
1229168545,HTML,602
1228687488,Python,655482
1228687488,JavaScript,21321
1228687488,HTML,706
1231273245,Swift,145181
1231273245,Shell,14624
1242316635,Python,36912
1242316635,Shell,266
1242316635,Batchfile,261
1242316635,Dockerfile,226
1241990700,Python,121252
1241990700,Dockerfile,1951
1225722703,Python,1177318
1225722703,TypeScript,907641
1225722703,CSS,5785
1225722703,Dockerfile,1744
1225722703,Mako,617
1225722703,JavaScript,559
1225722703,Shell,217
1239825019,Python,12166
1239825019,JavaScript,1302
1227833365,JavaScript,2721
1229921686,TypeScript,617520
1229921686,Python,231486
1229921686,CSS,29650
1229921686,Shell,18507
1229921686,HTML,651
1247201816,Vue,21312
1247201816,TypeScript,13612
1247201816,CSS,536
1235082631,Python,2582216
1235082631,JavaScript,1569432
1235082631,HTML,438946
1235082631,CSS,349157
1235082631,Shell,3447
1235082631,Batchfile,2739
1226068984,TypeScript,1181047
1226068984,Shell,55513
1226068984,JavaScript,35455
1226068984,CSS,8881
1226068984,HTML,602
1225136025,HTML,93936
1225136025,Shell,69972
1225136025,Batchfile,57155
1225136025,JavaScript,57014
1225136025,PowerShell,18246
1234545421,TypeScript,70624
1234545421,CSS,25227
1234545421,JavaScript,8000
1234545421,HTML,311
1237138183,Python,7723
1237138183,Shell,619
1237239472,TypeScript,30183378
1237239472,Shell,27132
1237239472,JavaScript,2797
1235672138,Python,159304
1237174940,Python,506374
1237174940,Dockerfile,530
1238424658,JavaScript,193311
1238424658,CSS,22737
1238424658,Python,5004
1238424658,HTML,4181
1234380117,Kotlin,1124743
1234380117,Makefile,3583
1234380117,Java,812
1234380117,Shell,724
1227325025,Go,786994
1227325025,Kotlin,124183
1227325025,Rust,83193
1227325025,Python,57705
1227325025,TypeScript,50977
1227325025,Shell,37178
1227325025,CSS,21313
1227325025,Makefile,2163
1227325025,HTML,349
1227325025,Dockerfile,190
1236044976,HTML,566806
1236044976,CSS,347065
1236044976,Shell,140705
1236044976,JavaScript,93465
1240673690,Python,195648
1240673690,Shell,1371
1242967652,TypeScript,792638
1242967652,Go,90746
1242967652,CSS,13742
1242967652,Dockerfile,1323
1242967652,JavaScript,102
1239159840,TypeScript,349483
1239159840,JavaScript,45
1234968036,JavaScript,1856401
1234968036,HTML,1437136
1234968036,CSS,153714
1234968036,Python,43717
1234968036,Shell,5704
1246440630,Python,197952
1246440630,Shell,915
1225188401,Python,2646958
1225188401,HTML,39999
1225188401,Shell,8019
1225188401,Makefile,1098
1225188401,Mako,704
1230057134,Python,436194
1230057134,Shell,26054
1229438606,TypeScript,520625
1229438606,CSS,6723
1229438606,JavaScript,3950
1233976060,CSS,54657
1233976060,Python,49500
1229084589,Go,386952
1229084589,JavaScript,63312
1229084589,Kotlin,45170
1229084589,CSS,35585
1229084589,HTML,14902
1229084589,Shell,10140
1229084589,Makefile,5739
1244391958,Python,26939
1244391958,Shell,311
1248216427,TypeScript,1024432
1248216427,Vue,663537
1248216427,JavaScript,54596
1248216427,CSS,30281
1248216427,NSIS,486
1248216427,HTML,473
1238455882,Rust,42309
1238455882,TypeScript,35364
1238455882,CSS,23658
1238455882,JavaScript,3496
1238455882,HTML,294
1234870827,TypeScript,164326
1234870827,JavaScript,812
1234870827,CSS,386
1234870827,HTML,186
1238128727,Batchfile,7370
1246330857,Python,14784
1250707188,Lean,28856904
1233823641,TypeScript,30362932
1233823641,JavaScript,50801
1233823641,PowerShell,979
1233823641,Batchfile,79
1243141639,Python,116723
1243141639,HTML,42097
1226251409,Python,457488
1226251409,Dockerfile,13624
1251917483,TypeScript,449849
1251917483,CSS,12638
1251917483,HTML,906
1238875505,C#,99902
1236319803,Go,196993
1230675195,Python,3595490
1230675195,TypeScript,68911
1230675195,Shell,55860
1230675195,JavaScript,8773
1229611866,Python,216622
1229611866,Shell,12119
1229611866,Dockerfile,713
1227974892,Go,1651066
1227974892,HTML,252721
1227974892,Go Template,8470
1227974892,Python,1967
1227974892,PowerShell,1358
1234177006,Swift,54275
1234177006,Shell,5875
1226085740,JavaScript,829439
1226085740,HTML,468
1237346118,TypeScript,355504
1237346118,CSS,378
1237346118,JavaScript,275
1251112542,Python,117611
1228804035,Python,51475
1229310351,Rust,3662888
1229310351,HTML,1650964
1229310351,Python,962084
1229310351,JavaScript,611814
1229310351,CSS,202258
1229310351,MDX,13302
1229310351,Shell,12787
