full_name,stars,forks,age_days,stars_per_day,primary_language,license,desc_len,score,tier,reasons
Tencent-Hunyuan/Hy4-preview,386,20,27,14.3,Python,NOASSERTION,0,4,待檢視,"desc:empty, license:none, topics:none"
gireeshkumarreddy/cinematic-portofilo,146,60,18,8.1,JavaScript,,0,4,待檢視,"desc:empty, license:none, topics:none"
nex-agi/Nex-N2.5,136,7,16,8.5,Unknown,,0,4,待檢視,"desc:empty, license:none, topics:none"
CTNicholas/jev-workflow-builder,141,16,2,70.5,TypeScript,,0,4,待檢視,"desc:empty, license:none, topics:none"
XGEN-Labs/XGEN-JING,245,20,8,30.6,Python,NOASSERTION,0,4,待檢視,"desc:empty, license:none, topics:none"
tradecatlabs/shulihuazixuecongshu,912,165,27,33.8,Python,,0,4,待檢視,"desc:empty, license:none, topics:none"
Vodiwalker/vodiwalker_panel,806,2063,13,62.0,Python,,0,4,待檢視,"desc:empty, license:none, topics:none"
TronIsHere/vibafarsiui,170,8,6,28.3,TypeScript,,0,4,待檢視,"desc:empty, license:none, topics:none"
niedachu/MateriaSim,303,11,9,33.7,Python,,0,4,待檢視,"desc:empty, license:none, topics:none"
arden-aaai/cpa-plugin-codex-turn-state,139,53,6,23.2,Go,MIT,0,4,待檢視,"desc:empty, generic-name:cpa-plugin-codex-turn-state, topics:none"
alex-holovach/life,141,25,9,15.7,Python,,0,4,待檢視,"desc:empty, license:none, topics:none"
deillusion/Aha-Engine,207,4,13,15.9,JavaScript,NOASSERTION,0,4,待檢視,"desc:empty, license:none, topics:none"
faligame/Parasite-Eve-2-HD-Remaster,149,3,12,12.4,Unknown,,0,4,待檢視,"desc:empty, license:none, topics:none"
sgyno09-source/reference-video-director,135,23,26,5.2,Unknown,,0,4,待檢視,"desc:empty, license:none, topics:none"
ArasTey/lunel,905,2154,14,64.6,Python,NOASSERTION,0,4,待檢視,"desc:empty, license:none, topics:none"
TencentARC/WorldCrafter,333,4,9,37.0,Python,NOASSERTION,0,4,待檢視,"desc:empty, license:none, topics:none"
Dimillian/Evergrow,138,23,18,7.7,TypeScript,,0,4,待檢視,"desc:empty, license:none, topics:none"
hezhanleiok/freesub,330,475,16,20.6,Python,,0,4,待檢視,"desc:empty, license:none, topics:none"
himdo/Fable-2-Recomp,207,7,24,8.6,C++,,0,4,待檢視,"desc:empty, license:none, topics:none"
heygen-com/liveavatar-gpt-live-demos,233,29,26,9.0,TypeScript,MIT,0,4,待檢視,"desc:empty, generic-name:liveavatar-gpt-live-demos, topics:none"
Kaleidoscope-XinFang/ai-video-ad-studio,200,3,17,11.8,TypeScript,,0,4,待檢視,"desc:empty, license:none, topics:none"
POUND0423/AI-drama-pound,557,83,28,19.9,Unknown,MIT,0,3,待檢視,"desc:empty, topics:none"
GangTailorUpgrade/undress-service,1220,8,23,53.0,Python,MIT,16,3,待檢視,"desc:short, low-forks:0.007"
RhuanCruz/swiftui-logo-draw,154,15,18,8.6,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
rtadewald/skills,151,18,25,6.0,JavaScript,,40,3,待檢視,"license:none, generic-name:skills, topics:none"
zgcagi/ZGCM-1,541,71,16,33.8,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
LetMeHappyCode/auto-video-agent,224,7,16,14.0,Python,,69,3,待檢視,"license:none, generic-name:auto-video-agent, topics:none"
Sac-Y/MiniMax-H3-Cloud,221,29,25,8.8,JavaScript,MIT,0,3,待檢視,"desc:empty, topics:none"
anonymous-report-421/GPT-as-Policy,532,25,10,53.2,HTML,MIT,13,3,待檢視,"desc:short, generic-name:GPT-as-Policy, topics:none"
RLinf/APXinf-robo,159,21,16,9.9,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
s0xDk/refactoring-ui-skill,568,54,28,20.3,CSS,NOASSERTION,260,3,待檢視,"license:none, generic-name:refactoring-ui-skill, topics:none"
tearhacker/UE4Dump_imGui_AnalyseToolsForMCP,143,45,26,5.5,C++,NOASSERTION,18,3,待檢視,"desc:short, license:none, topics:none"
JohnHeibel/PDoomVideo,535,46,1,535.0,JavaScript,,73,3,待檢視,"license:none, overnight-surge:535/day, topics:none"
rmalde/minecraft-agent,538,52,3,179.3,JavaScript,,107,3,待檢視,"license:none, generic-name:minecraft-agent, topics:none"
MShverdiakov/souchastnik,714,33,23,31.0,Kotlin,GPL-3.0,0,3,待檢視,"desc:empty, topics:none"
ppsdk/Embodied-AI-Start,199,1,29,6.9,Unknown,MIT,0,3,待檢視,"desc:empty, topics:none"
Re1nhard-1/deconv-preflight,200,7,2,100.0,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
browser-use/life-recorder,317,39,12,26.4,Swift,MIT,0,3,待檢視,"desc:empty, topics:none"
letstri/motion-panels,173,1,16,10.8,TypeScript,MIT,0,3,待檢視,"desc:empty, topics:none"
Tencent/WeVisDoc,344,14,9,38.2,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
WantBusinessLoop/hvobeesz,351,0,25,14.0,Unknown,NOASSERTION,0,3,待檢視,"desc:empty, license:none"
xieyouxixi/hwb-math-modeling-skills,175,4,7,25.0,Python,,23,3,待檢視,"license:none, generic-name:hwb-math-modeling-skills, topics:none"
breslee1707/VI-Translate,576,94,29,19.9,Python,AGPL-3.0,0,3,待檢視,"desc:empty, topics:none"
deepseek-ai/deepseek-recipe,347,32,13,26.7,Rust,MIT,0,3,待檢視,"desc:empty, topics:none"
yynxxxxx/gpt_sub_analysis,605,314,6,100.8,Unknown,,113,3,待檢視,"license:none, generic-name:gpt_sub_analysis, topics:none"
JamesKInner/Covalent-MAS,338,1,4,84.5,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
sethGu/AutoLOGIC,210,17,26,8.1,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
StreamContemplate/bchpkjkh,211,0,25,8.4,Unknown,NOASSERTION,0,3,待檢視,"desc:empty, license:none"
PZH1gdmu/CMP40HX-Unlock,219,27,19,11.5,C,MIT,0,3,待檢視,"desc:empty, topics:none"
coolbbcamp/OfficialSite,255,1,8,31.9,JavaScript,,19,3,待檢視,"desc:short, license:none, topics:none"
AlLHHH/ALH-Pro,215,12,24,9.0,C#,NOASSERTION,9,3,待檢視,"desc:short, license:none, topics:none"
MatheusGViana/dlss-5-amd-project,140,6,16,8.8,C++,,18,3,待檢視,"desc:short, license:none, topics:none"
iamzulx/crypto-rag,515,7,18,28.6,Python,MIT,173,3,待檢視,"low-forks:0.014, topics:none"
zjwzcx/Awesome-Astra-Embodied-AI,1016,23,11,92.4,Unknown,,41,3,待檢視,"license:none, generic-name:Awesome-Astra-Embodied-AI, topics:none"
thiagodmont/greeg,146,0,21,7.0,Rust,MIT,0,3,待檢視,"desc:empty, topics:none"
andrewroxby/claude-style-patch,148,7,15,9.9,Unknown,NOASSERTION,71,3,待檢視,"license:none, generic-name:claude-style-patch, topics:none"
tqmane/gunshot,367,38,12,30.6,Objective-C,NOASSERTION,18,3,待檢視,"desc:short, license:none, topics:none"
yjz211/vivid-figures-skill,373,23,13,28.7,HTML,NOASSERTION,58,3,待檢視,"license:none, generic-name:vivid-figures-skill, topics:none"
DefiLeoo/YOINK,379,23,12,31.6,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
droidrun/mobile-jev,380,48,6,63.3,JavaScript,MIT,0,3,待檢視,"desc:empty, topics:none"
MORTEN-BUUR/nordef-matrix-open-control,618,3,28,22.1,Python,MIT,167,3,待檢視,"low-forks:0.005, topics:none"
Sac-Y/Jev-cu,593,61,5,118.6,JavaScript,MIT,0,3,待檢視,"desc:empty, topics:none"
githubnext/localjev,747,47,5,149.4,TypeScript,MIT,0,3,待檢視,"desc:empty, topics:none"
i-am-manware/Manware-s-AI-Learning-Toolkit,602,74,18,33.4,Unknown,,79,3,待檢視,"license:none, generic-name:Manware-s-AI-Learning-Toolkit, topics:none"
kazdenc/regen-icons,179,16,10,17.9,JavaScript,MIT,0,3,待檢視,"desc:empty, topics:none"
google-research/rrsi,287,30,7,41.0,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
LIUFelix2004/God-minmax-H3,293,34,22,13.3,Shell,MIT,0,3,待檢視,"desc:empty, topics:none"
Lumid-Off/AirCard-Windows,832,65,5,166.4,Rust,MIT,0,3,待檢視,"desc:empty, topics:none"
yczz/oc-english,790,16,22,35.9,JavaScript,,9,3,待檢視,"desc:short, license:none, topics:none"
Zefan-Cai/Open-Jev,304,29,3,101.3,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
Barty-Bart/gpt-6-astra-10k-websites,141,53,16,8.8,Unknown,,97,3,待檢視,"license:none, generic-name:gpt-6-astra-10k-websites, topics:none"
0xkuch/Fibo,286,1,4,71.5,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
huangbai-AI/post-production-skill,245,43,4,61.2,Unknown,,70,3,待檢視,"license:none, generic-name:post-production-skill, topics:none"
mattyamonaca/JP_Market_Vis,141,20,15,9.4,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
mater1996/travel-planning,201,23,2,100.5,Python,NOASSERTION,15,3,待檢視,"desc:short, license:none, topics:none"
lightorigins/LightNav-0,656,50,26,25.2,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
bushm2092-del/agent-weave,205,3,26,7.9,TypeScript,,142,3,待檢視,"license:none, generic-name:agent-weave, topics:none"
fanfanyuyang/bid-agent-vscode,135,5,19,7.1,Python,,307,3,待檢視,"license:none, generic-name:bid-agent-vscode, topics:none"
bespokelabsai/nimble,1717,129,5,343.4,Python,,71,3,待檢視,"license:none, overnight-surge:343/day, topics:none"
dealerdefi/Jevmind,166,2,8,20.8,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
brainstormity/Jev-X-Sentiment-Analysis,167,33,4,41.8,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
anthropics/uplifting-biomolecular-modeling,290,45,6,48.3,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
yvetteYSY/creator-agent,463,60,29,16.0,TypeScript,,68,3,待檢視,"license:none, generic-name:creator-agent, topics:none"
LYiHub/pub-dsh-privacy-router,152,30,12,12.7,JavaScript,MIT,0,3,待檢視,"desc:empty, topics:none"
Observal/Axl,998,687,24,41.6,TypeScript,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
unreallabsai/unreal-agent,1833,91,2,916.5,Go,MIT,25,3,待檢視,"overnight-surge:916/day, generic-name:unreal-agent, topics:none"
reactor-team/infinite-livestream,231,35,24,9.6,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
LynxAnnihilate16/bxvdfsur,188,0,25,7.5,Unknown,NOASSERTION,0,3,待檢視,"desc:empty, license:none"
FlagOpen/InsertAny3D,186,183,25,7.4,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
OpenLucasKaka/bareloop,185,1,28,6.6,Python,MIT,0,3,待檢視,"desc:empty, topics:none"
unitreerobotics/unifolm-wla,183,17,12,15.2,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
rgem227/knoweldge-base,488,5,1,488.0,Python,,56,3,待檢視,"license:none, overnight-surge:488/day, topics:none"
BenyRonald77/uajy-academic-rag-chatbot,501,2,23,21.8,Python,MIT,149,3,待檢視,"low-forks:0.004, topics:none"
elijah-semyonov/DuoLikeAnimation,151,36,13,11.6,Swift,MIT,0,3,待檢視,"desc:empty, topics:none"
Lanye-z/MHI2Q-CarPlay-RGI-MMI-Mirror,227,26,13,17.5,Shell,MIT,0,3,待檢視,"desc:empty, topics:none"
voxivoid/recipe-lab-sony-pmca,225,15,15,15.0,Java,MIT,0,3,待檢視,"desc:empty, topics:none"
LanyXiaosheng/bookflow-skill,184,29,12,15.3,Unknown,MIT,9,3,待檢視,"desc:short, generic-name:bookflow-skill, topics:none"
lightorigins/Light-O1,155,7,3,51.7,Python,Apache-2.0,0,3,待檢視,"desc:empty, topics:none"
mcncarl/jianying-headless,2492,1856,8,311.5,Python,NOASSERTION,100,2,訊號完整,"license:none, topics:none"
sapientinc/PRAXIST,6747,768,27,249.9,Python,NOASSERTION,72,2,訊號完整,"license:none, topics:none"
tamaratran/fast-jev-compaction,6662,389,6,1110.3,TypeScript,MIT,202,2,訊號完整,"overnight-surge:1110/day, topics:none"
pipotoufikxyz-lgtm/dlssg_for_sm86-MFG-version,155,5,11,14.1,C++,,84,2,訊號完整,"license:none, topics:none"
shadcn-ui/lint,2731,52,21,130.0,TypeScript,MIT,100,2,訊號完整,low-forks:0.019
zai-org/ZCode,6656,1987,3,2218.7,TypeScript,Apache-2.0,63,2,訊號完整,"overnight-surge:2219/day, topics:none"
Instituto-IA-LNCC/manaca-1b-base,224,14,23,9.7,Python,NOASSERTION,110,2,訊號完整,"license:none, topics:none"
cth9191/motion-design,188,14,19,9.9,HTML,,108,2,訊號完整,"license:none, topics:none"
AlayaLab/PWM,191,5,18,10.6,Unknown,,69,2,訊號完整,"license:none, topics:none"
blakeshao/kool-brushez,183,20,20,9.2,JavaScript,MIT,17,2,訊號完整,"desc:short, topics:none"
daffainfo/vol-rs,188,5,24,7.8,Rust,NOASSERTION,54,2,訊號完整,"license:none, topics:none"
tonyd2wild/GLM-5.3-Flash-NVFP4-DFlash2-2x-DGX-Spark,187,26,28,6.7,Python,,177,2,訊號完整,"license:none, topics:none"
mabdulre9/electrical-engineering,412,31,3,137.3,Unknown,,64,2,訊號完整,"license:none, topics:none"
HRuiCcc/RuiC-card-skill,397,30,16,24.8,JavaScript,NOASSERTION,77,2,訊號完整,"license:none, generic-name:RuiC-card-skill"
yappologistic/Spun,411,17,16,25.7,C++,NOASSERTION,78,2,訊號完整,"license:none, topics:none"
mmastrac/djev-spark,189,16,5,37.8,HTML,,74,2,訊號完整,"license:none, topics:none"
v-modal/vmodal_sdk_robotics,470,1,17,27.6,Python,,19,2,訊號完整,"desc:short, license:none"
blendi-remade/unreel,154,32,20,7.7,TypeScript,,40,2,訊號完整,"license:none, topics:none"
kiri603/To-Sheet-Music-Skill,153,13,15,10.2,Python,MIT,348,2,訊號完整,"generic-name:To-Sheet-Music-Skill, topics:none"
